ローター,Rotor
Ｅマッサージャ,Electric Massager
クリキャップ,Clit Cap
オナホール,Onahole
バイブ,Vibrator
アナルバイブ,Anal Vibrator
アナルビーズ,Anal Beads
空気ポンプ,Air Pump
拡張バルーン,Expansion Balloon
浣腸器＋プラグ,Enema＋Butt Plug
ニプルキャップ,Nipple Cap
搾乳器,Milker
ペニスバンド,Strapon
鞭,Whip
針,Needle
アイマスク,Blindfold
縄,Rope
ボールギャグ,
カメラ,Photo Camera
プレイマット,Play Mat
エプロン,Apron
電極プラグ,Electrode Plug
膣鏡,Vaginal Speculum

CCDカメラ一式,Candid Camera Set
小型集音マイク,Concealed Recording Set

ローション,Lotion
媚薬,Aphrodisiac
利尿剤,Diuretic
フィルム,Film
コンドーム,Condom
低温蝋燭,Cold Candle

【汚れ無視】,【Ignore Dirt】
【調合知識】,【Mixing Knowledge】
【禁断の知識】,【Forbidden Knowledge】
【技巧UP】,【Technique UP】
【技巧DOWN】,【Technique DOWN】

元気になる薬,Energetic
薬の材料(双),Herm Medicine
薬の材料(消),Herm Removal Medicine
青いキャンディ,Blue Candy
赤いキャンディ,Red Candy

橙色のキャンディ,Orange Candy

排卵誘発剤,Fertility Drug
ピル,Pill
虹色のキャンディ,Rainbow Candy
黒いキャンディ,Black Candy
ダイヤモンド,Diamond
結婚指輪,Wedding Ring
